No.,Class,Platform, Assignee ,Link,,,,,
130,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/lalaworkspace/stationery-l7qrn,,,,,
131,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/stifte/stifte-6ttqr,,,,,
132,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/ngoc411/pencil-detection-hfzgv,,,,,
133,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/alessia/pencils-g3pin,,,,,
134,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/iso/pencil-zlmzj,,,,,
135,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/nutty-dmy2p/typeobject-ernbb,,,,,
136,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/southeast-university-iaqne/robotcup,,,,,
137,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/tareas-3jimi/detector-de-lapiz-4lrdp,,,,,
138,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/actors/pencil-annotation,,,,,
139,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/cankaya/pencil-kdyh5,,,,,
140,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/ngoc411/pencil-detection-hfzgv,,,,,(Note: From Ji Kit)
141,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/kalem-gdpsf/kalem-hjvgo,,,,,
142,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/proyectio-mbzum/control-de-calidad-mznge,,,,,
143,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/anurag-c5zza/pencil-4voey,,,,,
144,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/ngoc411/pencil2,,,,,
145,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/university-s1f0d/-jr1m3,,,,,
146,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/home-wsvbn/pbl-jujcp,,,,,
147,Plastic,Roboflow,Ji Kit,https://universe.roboflow.com/breathless/bottle-ewqkq,,,,,
148,Plastic,Roboflow,Ji Kit,https://universe.roboflow.com/test-xobwm/serp-plastic-bottles-fjj56-dywqq-jzndn-0wqyg,,,,,
149,Plastic,RealWaste,Ji Kit,https://archive.ics.uci.edu/dataset/908/realwaste,,,,,
150,Plastic,Roboflow,Ji Kit,https://universe.roboflow.com/trash-classification-mjez0/plastic-hdpe/browse?queryText=&pageSize=50&startingIndex=50&browseQuery=true,,,,,
151,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/work2-rjplo/bottle-0exyr,,,,,
152,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/naviyn/fyp-gimtb,,,,,
153,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/lab09-nrw9x/bottledataset-zfdxk,,,,,
154,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/test-0v7fp/final_recycle,,,,,
155,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/capstone-o404h/label-pet,,,,,
156,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/waste-detector-2t9ly/plasticbottle-otor5,,,,,
157,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/newplastic-lqx0m/plastic_bottle_city,,,,,
158,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/classifications/bounding-box-batch-1,,,,,
159,Plastic bottle,Roboflow,Darcy,https://universe.roboflow.com/roboflow-universe-projects/beverage-containers-3atxb,,,,,
160,Plastic containers,Roboflow,Darcy,https://universe.roboflow.com/hero-ocy4w/container-1towe,,,,,
161,Plastic containers,Roboflow,Darcy,https://universe.roboflow.com/test-iwr92/tubs-cocdp,,,,,
162,Plastic containers,Roboflow,Darcy,https://universe.roboflow.com/detection-qybe8/detection-yaourt,,,,,
163,Plastic containers,Roboflow,Darcy,https://universe.roboflow.com/abdallah-m3nip/nour-0u5jn,,,,,
164,Plastic containers,Roboflow,Darcy,https://universe.roboflow.com/garbage-gu06e/plastic-t1ybm,,,,,
165,Plastic containers,Roboflow,Darcy,https://universe.roboflow.com/angelas-workspace/plastics-3,,,,,
166,Plastic containers,Roboflow,Darcy,https://universe.roboflow.com/classifications/bounding-box-batch-1,,,,,
167,Plastic Lids,Roboflow,Hiroki,https://universe.roboflow.com/coub/count_bottle_cap,,,,,
168,Plastic Lids,Roboflow,Hiroki,https://universe.roboflow.com/twojyy/plastic_container-2,,,,,
169,Plastic Lids,Roboflow,Hiroki,https://universe.roboflow.com/bottlecapproject-dyaxy/bottle_cap_sdp,,,,,
170,Plastic Lids,Roboflow,Hiroki,https://universe.roboflow.com/work2-rjplo/bottle-cap-oiuwp,,,,,
171,Plastic Lids,Roboflow,Hiroki,https://universe.roboflow.com/capstone-s4awr/plastic_container-uei4i,,,,,
172,Plastic Milk Bottles,Roboflow,Hiroki,https://universe.roboflow.com/wyzup/milk-onbxt,,,,,
